P,So,Sw,Sg,day,case
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
5382.0,0.88,0.12,0.0,0,base3_c3_col
