time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.6,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base22
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base22
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base22
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base22
5,9.1,1,5242.6,300.0,2.7,0.1,0.0,0.0,137.0,1.25,457.0,base22
6,14.2,1,5202.9,300.0,4.3,0.1,0.0,0.0,137.0,1.95,457.0,base22
7,21.8,1,5143.2,300.0,6.5,0.1,0.0,0.0,137.0,2.99,457.0,base22
8,33.2,1,5053.5,300.0,10.0,0.1,0.0,0.0,137.0,4.55,457.0,base22
9,34.2,2,4822.0,300.0,10.3,0.1,0.0,0.0,137.0,4.68,457.0,base22
10,35.2,1,4814.1,300.0,10.6,0.1,0.0,0.0,137.0,4.82,457.0,base22
11,36.7,1,4802.3,300.0,11.0,0.1,0.0,0.0,137.0,5.03,457.0,base22
12,38.9,1,4784.6,300.0,11.7,0.1,0.0,0.0,137.0,5.34,457.0,base22
13,42.3,1,4758.0,300.0,12.7,0.1,0.0,0.0,137.0,5.8,457.0,base22
14,47.4,1,4718.0,300.0,14.2,0.1,0.0,0.0,137.0,6.49,457.0,base22
15,55.0,1,4658.0,300.0,16.5,0.1,0.0,0.0,137.0,7.53,457.0,base22
16,66.3,1,4567.9,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base22
17,67.3,2,4338.2,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base22
18,68.3,1,4329.6,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base22
19,69.8,1,4317.6,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base22
20,72.1,1,4299.6,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base22
21,75.5,1,4272.6,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base22
22,80.5,1,4232.1,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base22
23,88.1,1,4171.3,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base22
24,99.5,1,4079.8,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base22
25,100.5,2,3844.3,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base22
26,101.5,1,3836.1,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base22
27,103.0,1,3824.1,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base22
28,105.3,1,3806.0,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base22
29,108.6,1,3778.9,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base22
30,113.7,1,3738.1,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base22
31,121.3,1,3676.9,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base22
32,132.7,1,3585.0,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base22
33,133.7,2,3350.8,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base22
34,134.7,1,3342.0,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base22
35,136.2,1,3329.8,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base22
36,138.4,1,3311.4,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base22
37,141.8,1,3283.9,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base22
38,146.9,1,3242.6,300.0,44.1,0.2,0.0,0.0,137.0,20.14,457.0,base22
39,154.5,1,3180.5,300.0,46.3,0.2,0.0,0.0,137.0,21.18,457.0,base22
