P,So,Sw,Sg,day,case
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
5382.0,0.88,0.12,0.0,0,base13
2031.0,0.8187,0.1212,0.06008,365,base13
2030.0,0.8186,0.1212,0.0602,365,base13
2028.0,0.8184,0.1212,0.06042,365,base13
2026.0,0.8181,0.1212,0.0607,365,base13
2024.0,0.8179,0.1212,0.06092,365,base13
2021.0,0.8176,0.1212,0.06123,365,base13
2019.0,0.8172,0.1212,0.06157,365,base13
2017.0,0.817,0.1212,0.06185,365,base13
2015.0,0.8168,0.1212,0.06203,365,base13
2030.0,0.8186,0.1212,0.06019,365,base13
2029.0,0.8185,0.1212,0.06032,365,base13
2027.0,0.8183,0.1212,0.06055,365,base13
2024.0,0.818,0.1212,0.06085,365,base13
2022.0,0.8177,0.1212,0.06108,365,base13
2019.0,0.8174,0.1212,0.06143,365,base13
2016.0,0.817,0.1212,0.0618,365,base13
2014.0,0.8167,0.1212,0.0621,365,base13
2013.0,0.8165,0.1212,0.0623,365,base13
2028.0,0.8184,0.1212,0.0604,365,base13
2027.0,0.8183,0.1212,0.06053,365,base13
2025.0,0.818,0.1212,0.06078,365,base13
2021.0,0.8177,0.1212,0.06113,365,base13
2018.0,0.8174,0.1212,0.06137,365,base13
2015.0,0.817,0.1212,0.06179,365,base13
2011.0,0.8166,0.1212,0.0622,365,base13
2008.0,0.8162,0.1212,0.06258,365,base13
2006.0,0.8156,0.1212,0.06318,365,base13
2026.0,0.8181,0.1212,0.06066,365,base13
2025.0,0.818,0.1212,0.06082,365,base13
2022.0,0.8177,0.1212,0.06111,365,base13
2017.0,0.8173,0.1212,0.0615,365,base13
2013.0,0.817,0.1212,0.06177,365,base13
2009.0,0.8165,0.1212,0.06227,365,base13
2004.0,0.8156,0.1212,0.06324,365,base13
1999.0,0.8149,0.1212,0.06392,365,base13
1996.0,0.8145,0.1212,0.06434,365,base13
2024.0,0.8179,0.1212,0.06087,365,base13
2022.0,0.8178,0.1212,0.06104,365,base13
2019.0,0.8175,0.1212,0.06134,365,base13
2014.0,0.8171,0.1212,0.06176,365,base13
2009.0,0.8168,0.1212,0.06202,365,base13
2003.0,0.8158,0.1212,0.06304,365,base13
1996.0,0.8149,0.1212,0.06389,365,base13
1989.0,0.8141,0.1212,0.06469,365,base13
1984.0,0.8136,0.1212,0.06524,365,base13
2022.0,0.8177,0.1212,0.06116,365,base13
2020.0,0.8174,0.1212,0.06136,365,base13
2016.0,0.8171,0.1212,0.06174,365,base13
2010.0,0.8166,0.1212,0.06225,365,base13
2004.0,0.8158,0.1212,0.06303,365,base13
1997.0,0.8147,0.1212,0.06405,365,base13
1987.0,0.8137,0.1212,0.06511,365,base13
1977.0,0.8126,0.1212,0.06615,365,base13
1970.0,0.8119,0.1212,0.06693,365,base13
2020.0,0.8173,0.1212,0.06147,365,base13
2017.0,0.8171,0.1212,0.06171,365,base13
