P,So,Sw,Sg,day,case
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
5382.0,0.88,0.12,0.0,0,base15
1906.0,0.7984,0.1212,0.08034,365,base15
1905.0,0.7983,0.1212,0.08051,365,base15
1902.0,0.798,0.1212,0.08082,365,base15
1899.0,0.7975,0.1212,0.08123,365,base15
1897.0,0.7972,0.1212,0.08155,365,base15
1894.0,0.7968,0.1212,0.08201,365,base15
1891.0,0.7963,0.1212,0.08252,365,base15
1888.0,0.7958,0.1212,0.08295,365,base15
1887.0,0.7956,0.1212,0.08322,365,base15
1905.0,0.7983,0.1212,0.0805,365,base15
1903.0,0.7981,0.1212,0.08068,365,base15
1901.0,0.7978,0.1212,0.08101,365,base15
1898.0,0.7973,0.1212,0.08145,365,base15
1895.0,0.797,0.1212,0.08179,365,base15
1892.0,0.7965,0.1212,0.08231,365,base15
1888.0,0.7959,0.1212,0.08285,365,base15
1885.0,0.7954,0.1212,0.08334,365,base15
1883.0,0.7951,0.1212,0.08364,365,base15
1903.0,0.798,0.1212,0.08079,365,base15
1901.0,0.7978,0.1212,0.08099,365,base15
1898.0,0.7974,0.1212,0.08135,365,base15
1894.0,0.7969,0.1212,0.08186,365,base15
1891.0,0.7965,0.1212,0.08224,365,base15
1887.0,0.7959,0.1212,0.08283,365,base15
1882.0,0.7953,0.1212,0.08346,365,base15
1878.0,0.7948,0.1212,0.08401,365,base15
1876.0,0.7944,0.1212,0.08439,365,base15
1900.0,0.7976,0.1212,0.08118,365,base15
1898.0,0.7974,0.1212,0.08141,365,base15
1894.0,0.797,0.1212,0.08182,365,base15
1889.0,0.7964,0.1212,0.08242,365,base15
1885.0,0.7959,0.1212,0.08284,365,base15
1880.0,0.7952,0.1212,0.08353,365,base15
1873.0,0.7945,0.1212,0.08429,365,base15
1867.0,0.7938,0.1212,0.08497,365,base15
1864.0,0.7933,0.1212,0.08546,365,base15
1898.0,0.7973,0.1212,0.08147,365,base15
1895.0,0.7971,0.1212,0.08172,365,base15
1891.0,0.7966,0.1212,0.08219,365,base15
1885.0,0.7959,0.1212,0.08282,365,base15
1879.0,0.7955,0.1212,0.08326,365,base15
1872.0,0.7947,0.1212,0.08402,365,base15
1863.0,0.7939,0.1212,0.08486,365,base15
1855.0,0.7931,0.1212,0.08565,365,base15
1850.0,0.7925,0.1212,0.08623,365,base15
1895.0,0.7969,0.1212,0.08189,365,base15
1893.0,0.7966,0.1212,0.08221,365,base15
1888.0,0.796,0.1212,0.08276,365,base15
1880.0,0.7953,0.1212,0.08351,365,base15
1873.0,0.7947,0.1212,0.08403,365,base15
1865.0,0.7938,0.1212,0.08496,365,base15
1853.0,0.7928,0.1212,0.08598,365,base15
1842.0,0.7918,0.1212,0.08695,365,base15
1834.0,0.791,0.1212,0.08772,365,base15
1892.0,0.7964,0.1212,0.08236,365,base15
1889.0,0.7961,0.1212,0.08271,365,base15
1883.0,0.7954,0.1212,0.08335,365,base15
1874.0,0.7945,0.1212,0.08423,365,base15
1864.0,0.7939,0.1212,0.08484,365,base15
1853.0,0.7928,0.1212,0.08596,365,base15
1836.0,0.7915,0.1212,0.08728,365,base15
1817.0,0.7902,0.1212,0.08856,365,base15
1802.0,0.7891,0.1212,0.08964,365,base15
1890.0,0.796,0.1212,0.08276,365,base15
1886.0,0.7956,0.1212,0.08316,365,base15
1879.0,0.7949,0.1212,0.08387,365,base15
1868.0,0.7939,0.1212,0.08489,365,base15
1856.0,0.7932,0.1212,0.0856,365,base15
1842.0,0.7919,0.1212,0.0869,365,base15
1817.0,0.7902,0.1212,0.08852,365,base15
1786.0,0.7885,0.1213,0.09022,365,base15
1753.0,0.7869,0.1213,0.09185,365,base15
