P,So,Sw,Sg,day,case
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
5382.0,0.88,0.12,0.0,0,base23
2479.0,0.8751,0.121,0.003895,365,base23
2479.0,0.875,0.121,0.003969,365,base23
2478.0,0.8749,0.121,0.00411,365,base23
2476.0,0.8747,0.121,0.004302,365,base23
2474.0,0.8745,0.121,0.00447,365,base23
2473.0,0.8743,0.121,0.004641,365,base23
2471.0,0.8741,0.121,0.004855,365,base23
2469.0,0.8739,0.121,0.005023,365,base23
2469.0,0.8738,0.121,0.005116,365,base23
2479.0,0.875,0.121,0.003964,365,base23
2478.0,0.8749,0.121,0.004046,365,base23
2477.0,0.8748,0.121,0.004202,365,base23
2475.0,0.8745,0.121,0.004419,365,base23
2473.0,0.8744,0.121,0.00461,365,base23
2471.0,0.8742,0.121,0.004806,365,base23
2469.0,0.8739,0.121,0.005056,365,base23
2467.0,0.8737,0.121,0.005256,365,base23
2466.0,0.8736,0.121,0.005368,365,base23
2478.0,0.8749,0.121,0.004095,365,base23
2477.0,0.8748,0.121,0.004193,365,base23
2475.0,0.8746,0.121,0.004382,365,base23
2473.0,0.8743,0.121,0.004648,365,base23
2471.0,0.8741,0.121,0.004887,365,base23
2468.0,0.8738,0.121,0.005138,365,base23
2466.0,0.8735,0.121,0.005468,365,base23
2463.0,0.8732,0.121,0.005739,365,base23
2462.0,0.8731,0.121,0.005894,365,base23
2476.0,0.8747,0.121,0.004272,365,base23
2475.0,0.8746,0.121,0.004394,365,base23
2473.0,0.8743,0.121,0.004633,365,base23
2470.0,0.874,0.121,0.004976,365,base23
2467.0,0.8737,0.121,0.005299,365,base23
2464.0,0.8733,0.121,0.005637,365,base23
2460.0,0.8729,0.121,0.006104,365,base23
2457.0,0.8724,0.121,0.006506,365,base23
2454.0,0.8722,0.121,0.006747,365,base23
2475.0,0.8745,0.121,0.004425,365,base23
2473.0,0.8744,0.121,0.00457,365,base23
2471.0,0.8741,0.121,0.004857,365,base23
2467.0,0.8737,0.121,0.005283,365,base23
2464.0,0.8733,0.121,0.005693,365,base23
2460.0,0.8728,0.121,0.006132,365,base23
2454.0,0.8722,0.121,0.006768,365,base23
2449.0,0.8716,0.121,0.00735,365,base23
2446.0,0.8712,0.121,0.00772,365,base23
2473.0,0.8744,0.121,0.004579,365,base23
2472.0,0.8742,0.121,0.004749,365,base23
2469.0,0.8739,0.121,0.00509,365,base23
2464.0,0.8734,0.121,0.005604,365,base23
2460.0,0.8728,0.121,0.006114,365,base23
2455.0,0.8723,0.121,0.006669,365,base23
2448.0,0.8714,0.121,0.007514,365,base23
2441.0,0.8706,0.121,0.008331,365,base23
2436.0,0.8701,0.1211,0.008887,365,base23
2472.0,0.8742,0.121,0.004776,365,base23
2470.0,0.874,0.121,0.004981,365,base23
2466.0,0.8736,0.121,0.005402,365,base23
2461.0,0.8729,0.121,0.006053,365,base23
2455.0,0.8722,0.121,0.006732,365,base23
2448.0,0.8715,0.121,0.007496,365,base23
2437.0,0.8702,0.1211,0.008768,365,base23
2425.0,0.8688,0.1211,0.01017,365,base23
2416.0,0.8676,0.1211,0.01131,365,base23
2470.0,0.874,0.121,0.004931,365,base23
2468.0,0.8738,0.121,0.005169,365,base23
2464.0,0.8733,0.121,0.005661,365,base23
2457.0,0.8725,0.121,0.006443,365,base23
2450.0,0.8717,0.121,0.007301,365,base23
2441.0,0.8706,0.121,0.008301,365,base23
2425.0,0.8688,0.1211,0.01016,365,base23
2405.0,0.8663,0.1211,0.01259,365,base23
2384.0,0.8635,0.1211,0.01542,365,base23
2470.0,0.8739,0.121,0.005019,365,base23
2467.0,0.8737,0.121,0.005275,365,base23
2463.0,0.8731,0.121,0.00581,365,base23
2455.0,0.8723,0.121,0.006677,365,base23
2447.0,0.8713,0.121,0.007664,365,base23
2436.0,0.8701,0.1211,0.008851,365,base23
2416.0,0.8677,0.1211,0.01129,365,base23
2384.0,0.8635,0.1211,0.01542,365,base23
2325.0,0.8555,0.1211,0.02342,365,base23
4255.0,0.3084,0.6916,0.0,730,base23
4170.0,0.3754,0.6246,0.0,730,base23
4108.0,0.529,0.4694,0.001565,730,base23
4062.0,0.803,0.194,0.002987,730,base23
4051.0,0.8741,0.1259,0.0,730,base23
4044.0,0.8794,0.1206,0.0,730,base23
4037.0,0.8795,0.1205,0.0,730,base23
4032.0,0.8795,0.1205,0.0,730,base23
4030.0,0.8795,0.1205,0.0,730,base23
4170.0,0.3754,0.6246,0.0,730,base23
4129.0,0.4761,0.523,0.0008261,730,base23
4082.0,0.7229,0.2748,0.002246,730,base23
4057.0,0.8693,0.1307,0.0,730,base23
4048.0,0.879,0.121,0.0,730,base23
4042.0,0.8795,0.1205,0.0,730,base23
4035.0,0.8795,0.1205,0.0,730,base23
4031.0,0.8795,0.1205,0.0,730,base23
4029.0,0.8795,0.1205,0.0,730,base23
4108.0,0.5288,0.4696,0.001558,730,base23
4082.0,0.7228,0.275,0.002241,730,base23
4062.0,0.862,0.1349,0.003104,730,base23
4050.0,0.8791,0.1209,0.0,730,base23
4044.0,0.8795,0.1205,0.0,730,base23
4038.0,0.8795,0.1205,0.0,730,base23
4032.0,0.8795,0.1205,0.0,730,base23
4028.0,0.8795,0.1205,0.0,730,base23
4026.0,0.8795,0.1205,0.0,730,base23
4062.0,0.8027,0.1943,0.002975,730,base23
4057.0,0.8692,0.1308,0.0,730,base23
4050.0,0.8791,0.1209,0.0,730,base23
4043.0,0.8795,0.1205,0.0,730,base23
4038.0,0.8795,0.1205,0.0,730,base23
4033.0,0.8795,0.1205,0.0,730,base23
4028.0,0.8795,0.1205,0.0,730,base23
4024.0,0.8795,0.1205,0.0,730,base23
4022.0,0.8795,0.1205,0.0,730,base23
4051.0,0.874,0.126,0.0,730,base23
4048.0,0.879,0.121,0.0,730,base23
4043.0,0.8795,0.1205,0.0,730,base23
4038.0,0.8795,0.1205,0.0,730,base23
4033.0,0.8795,0.1205,0.0,730,base23
4029.0,0.8795,0.1205,0.0,730,base23
4024.0,0.8795,0.1205,0.0,730,base23
4021.0,0.8795,0.1205,0.0,730,base23
4019.0,0.8795,0.1205,0.0,730,base23
4043.0,0.8794,0.1206,0.0,730,base23
4041.0,0.8795,0.1205,0.0,730,base23
4038.0,0.8795,0.1205,0.0,730,base23
4033.0,0.8795,0.1205,0.0,730,base23
4029.0,0.8795,0.1205,0.0,730,base23
4025.0,0.8795,0.1205,0.0,730,base23
4020.0,0.8795,0.1205,0.0,730,base23
4017.0,0.8795,0.1205,0.0,730,base23
4014.0,0.8795,0.1205,0.0,730,base23
4036.0,0.8795,0.1205,0.0,730,base23
4035.0,0.8795,0.1205,0.0,730,base23
4032.0,0.8795,0.1205,0.0,730,base23
4028.0,0.8795,0.1205,0.0,730,base23
4024.0,0.8795,0.1205,0.0,730,base23
4020.0,0.8795,0.1205,0.0,730,base23
4015.0,0.8795,0.1205,0.0,730,base23
4011.0,0.8795,0.1205,0.0,730,base23
4007.0,0.8795,0.1205,2.562e-05,730,base23
4032.0,0.8795,0.1205,0.0,730,base23
4030.0,0.8795,0.1205,0.0,730,base23
4028.0,0.8795,0.1205,0.0,730,base23
4024.0,0.8795,0.1205,0.0,730,base23
4020.0,0.8795,0.1205,0.0,730,base23
4016.0,0.8795,0.1205,0.0,730,base23
4011.0,0.8795,0.1205,0.0,730,base23
4004.0,0.8791,0.1205,0.0004262,730,base23
3998.0,0.8782,0.1205,0.001292,730,base23
4030.0,0.8795,0.1205,0.0,730,base23
4028.0,0.8795,0.1205,0.0,730,base23
4026.0,0.8795,0.1205,0.0,730,base23
4022.0,0.8795,0.1205,0.0,730,base23
4018.0,0.8795,0.1205,0.0,730,base23
4014.0,0.8795,0.1205,0.0,730,base23
4007.0,0.8795,0.1205,3.742e-05,730,base23
3998.0,0.8782,0.1205,0.001297,730,base23
3983.0,0.8762,0.1205,0.003288,730,base23
5087.0,0.2984,0.7016,0.0,1095,base23
5004.0,0.3193,0.6807,0.0,1095,base23
4951.0,0.3858,0.6126,0.001565,1095,base23
4906.0,0.5069,0.4901,0.002987,1095,base23
4879.0,0.6691,0.3309,0.0,1095,base23
4862.0,0.8614,0.1386,0.0,1095,base23
4854.0,0.8793,0.1207,0.0,1095,base23
4849.0,0.8798,0.1202,0.0,1095,base23
4846.0,0.8798,0.1202,0.0,1095,base23
5004.0,0.3193,0.6807,0.0,1095,base23
4970.0,0.3668,0.6323,0.0008261,1095,base23
4930.0,0.4419,0.5558,0.002246,1095,base23
4891.0,0.6274,0.3726,0.0,1095,base23
4870.0,0.8113,0.1887,0.0,1095,base23
4859.0,0.8765,0.1235,0.0,1095,base23
4852.0,0.8797,0.1203,0.0,1095,base23
4847.0,0.8798,0.1202,0.0,1095,base23
4844.0,0.8798,0.1202,0.0,1095,base23
4951.0,0.3858,0.6127,0.001558,1095,base23
4930.0,0.4418,0.5559,0.002241,1095,base23
4901.0,0.5789,0.418,0.003104,1095,base23
4871.0,0.8123,0.1877,0.0,1095,base23
4861.0,0.8723,0.1277,0.0,1095,base23
4854.0,0.8796,0.1204,0.0,1095,base23
4847.0,0.8798,0.1202,0.0,1095,base23
4842.0,0.8798,0.1202,0.0,1095,base23
4840.0,0.8798,0.1202,0.0,1095,base23
4906.0,0.5066,0.4904,0.002975,1095,base23
4891.0,0.627,0.373,0.0,1095,base23
4871.0,0.8122,0.1878,0.0,1095,base23
4860.0,0.8748,0.1252,0.0,1095,base23
4854.0,0.8794,0.1206,0.0,1095,base23
4848.0,0.8798,0.1202,0.0,1095,base23
4841.0,0.8798,0.1202,0.0,1095,base23
4836.0,0.8798,0.1202,0.0,1095,base23
4834.0,0.8798,0.1202,0.0,1095,base23
4879.0,0.6682,0.3318,0.0,1095,base23
4869.0,0.8109,0.1891,0.0,1095,base23
4861.0,0.8723,0.1277,0.0,1095,base23
4854.0,0.8794,0.1206,0.0,1095,base23
4848.0,0.8798,0.1202,0.0,1095,base23
4843.0,0.8798,0.1202,0.0,1095,base23
4836.0,0.8798,0.1202,0.0,1095,base23
4831.0,0.8798,0.1202,0.0,1095,base23
4828.0,0.8798,0.1202,0.0,1095,base23
4862.0,0.8624,0.1376,0.0,1095,base23
4859.0,0.8767,0.1233,0.0,1095,base23
4854.0,0.8796,0.1204,0.0,1095,base23
4848.0,0.8798,0.1202,0.0,1095,base23
4842.0,0.8798,0.1202,0.0,1095,base23
4837.0,0.8798,0.1202,0.0,1095,base23
4830.0,0.8798,0.1202,0.0,1095,base23
4824.0,0.8798,0.1202,0.0,1095,base23
4820.0,0.8798,0.1202,0.0,1095,base23
4853.0,0.8794,0.1206,0.0,1095,base23
4851.0,0.8797,0.1203,0.0,1095,base23
4847.0,0.8798,0.1202,0.0,1095,base23
4841.0,0.8798,0.1202,0.0,1095,base23
4836.0,0.8798,0.1202,0.0,1095,base23
4830.0,0.8798,0.1202,0.0,1095,base23
4822.0,0.8798,0.1202,0.0,1095,base23
4814.0,0.8798,0.1202,0.0,1095,base23
4808.0,0.8798,0.1202,2.562e-05,1095,base23
4848.0,0.8798,0.1202,0.0,1095,base23
4846.0,0.8798,0.1202,0.0,1095,base23
4842.0,0.8798,0.1202,0.0,1095,base23
4836.0,0.8798,0.1202,0.0,1095,base23
4830.0,0.8798,0.1202,0.0,1095,base23
4824.0,0.8798,0.1202,0.0,1095,base23
4813.0,0.8798,0.1202,0.0,1095,base23
4801.0,0.8794,0.1202,0.0004262,1095,base23
4789.0,0.8785,0.1202,0.001292,1095,base23
4846.0,0.8798,0.1202,0.0,1095,base23
4844.0,0.8798,0.1202,0.0,1095,base23
4840.0,0.8798,0.1202,0.0,1095,base23
4834.0,0.8798,0.1202,0.0,1095,base23
4827.0,0.8798,0.1202,0.0,1095,base23
4820.0,0.8798,0.1202,0.0,1095,base23
4808.0,0.8798,0.1202,3.742e-05,1095,base23
4789.0,0.8785,0.1202,0.001297,1095,base23
4759.0,0.8765,0.1202,0.003288,1095,base23
5934.0,0.2935,0.7065,0.0,1460,base23
5855.0,0.3033,0.6967,0.0,1460,base23
5804.0,0.3429,0.6556,0.001565,1460,base23
5765.0,0.4087,0.5883,0.002987,1460,base23
5738.0,0.4568,0.5432,0.0,1460,base23
5715.0,0.6865,0.3135,0.0,1460,base23
5698.0,0.8626,0.1374,0.0,1460,base23
5692.0,0.8796,0.1204,0.0,1460,base23
5689.0,0.8801,0.1199,0.0,1460,base23
5855.0,0.3033,0.6967,0.0,1460,base23
5822.0,0.3292,0.67,0.0008261,1460,base23
5787.0,0.3787,0.6191,0.002246,1460,base23
5752.0,0.4529,0.5471,0.0,1460,base23
5729.0,0.5302,0.4698,0.0,1460,base23
5707.0,0.7898,0.2102,0.0,1460,base23
5695.0,0.8752,0.1248,0.0,1460,base23
5690.0,0.88,0.12,0.0,1460,base23
5687.0,0.8801,0.1199,0.0,1460,base23
5804.0,0.3428,0.6556,0.001558,1460,base23
5787.0,0.3786,0.6191,0.002241,1460,base23
5761.0,0.4312,0.5657,0.003104,1460,base23
5732.0,0.5559,0.4441,0.0,1460,base23
5712.0,0.7101,0.2899,0.0,1460,base23
5699.0,0.8646,0.1354,0.0,1460,base23
5691.0,0.8796,0.1204,0.0,1460,base23
5686.0,0.8801,0.1199,0.0,1460,base23
5683.0,0.8801,0.1199,0.0,1460,base23
5764.0,0.4085,0.5886,0.002975,1460,base23
5752.0,0.4526,0.5474,0.0,1460,base23
5732.0,0.5557,0.4443,0.0,1460,base23
5708.0,0.764,0.236,0.0,1460,base23
5698.0,0.8574,0.1426,0.0,1460,base23
5691.0,0.8789,0.1211,0.0,1460,base23
5684.0,0.8801,0.1199,0.0,1460,base23
5679.0,0.8801,0.1199,0.0,1460,base23
5676.0,0.8801,0.1199,0.0,1460,base23
5738.0,0.4562,0.5438,0.0,1460,base23
5729.0,0.5296,0.4704,0.0,1460,base23
5712.0,0.7096,0.2904,0.0,1460,base23
5698.0,0.8574,0.1426,0.0,1460,base23
5691.0,0.8773,0.1227,0.0,1460,base23
5685.0,0.88,0.12,0.0,1460,base23
5678.0,0.8801,0.1199,0.0,1460,base23
5673.0,0.8801,0.1199,0.0,1460,base23
5670.0,0.8801,0.1199,0.0,1460,base23
5714.0,0.6956,0.3044,0.0,1460,base23
5707.0,0.7951,0.2049,0.0,1460,base23
5698.0,0.8657,0.1343,0.0,1460,base23
5691.0,0.879,0.121,0.0,1460,base23
5685.0,0.88,0.12,0.0,1460,base23
5680.0,0.8801,0.1199,0.0,1460,base23
5672.0,0.8801,0.1199,0.0,1460,base23
5666.0,0.8801,0.1199,0.0,1460,base23
5662.0,0.8801,0.1199,0.0,1460,base23
5697.0,0.8647,0.1353,0.0,1460,base23
5695.0,0.8759,0.1241,0.0,1460,base23
5690.0,0.8796,0.1204,0.0,1460,base23
5684.0,0.8801,0.1199,0.0,1460,base23
5678.0,0.8801,0.1199,0.0,1460,base23
5672.0,0.8801,0.1199,0.0,1460,base23
5663.0,0.8801,0.1199,0.0,1460,base23
5655.0,0.8801,0.1199,0.0,1460,base23
5649.0,0.8801,0.1199,2.562e-05,1460,base23
5692.0,0.8797,0.1203,0.0,1460,base23
5690.0,0.88,0.12,0.0,1460,base23
5685.0,0.8801,0.1199,0.0,1460,base23
5679.0,0.8801,0.1199,0.0,1460,base23
5673.0,0.8801,0.1199,0.0,1460,base23
5666.0,0.8801,0.1199,0.0,1460,base23
5655.0,0.8801,0.1199,0.0,1460,base23
5642.0,0.8797,0.1199,0.0004262,1460,base23
5629.0,0.8788,0.1199,0.001292,1460,base23
5689.0,0.8801,0.1199,0.0,1460,base23
5687.0,0.8801,0.1199,0.0,1460,base23
5683.0,0.8801,0.1199,0.0,1460,base23
5676.0,0.8801,0.1199,0.0,1460,base23
5670.0,0.8801,0.1199,0.0,1460,base23
5662.0,0.8801,0.1199,0.0,1460,base23
5649.0,0.8801,0.1199,3.742e-05,1460,base23
5629.0,0.8788,0.1199,0.001297,1460,base23
5598.0,0.8768,0.1199,0.003288,1460,base23
5999.0,0.2931,0.7069,0.0,1825,base23
5920.0,0.3009,0.6991,0.0,1825,base23
5870.0,0.3253,0.6732,0.001565,1825,base23
5832.0,0.3744,0.6226,0.002987,1825,base23
5807.0,0.3977,0.6023,0.0,1825,base23
5784.0,0.5168,0.4832,0.0,1825,base23
