time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5344.4,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base26
2,2.0,1,5340.4,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base26
3,3.5,1,5334.5,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base26
4,5.8,1,5325.7,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base26
5,9.1,1,5312.5,300.0,2.7,0.0,0.0,0.0,137.0,1.25,457.0,base26
6,14.2,1,5292.6,300.0,4.3,0.0,0.0,0.0,137.0,1.95,457.0,base26
7,21.8,1,5262.9,300.0,6.5,0.0,0.0,0.0,137.0,2.99,457.0,base26
8,33.2,1,5218.2,300.0,10.0,0.0,0.0,0.0,137.0,4.55,457.0,base26
9,48.2,1,5159.2,300.0,14.5,0.0,0.0,0.0,137.0,6.6,457.0,base26
10,63.2,1,5100.1,300.0,19.0,0.0,0.0,0.0,137.0,8.66,457.0,base26
11,78.2,1,5040.9,300.0,23.5,0.0,0.0,0.0,137.0,10.72,457.0,base26
12,93.2,1,4981.5,300.0,28.0,0.0,0.0,0.0,137.0,12.77,457.0,base26
13,108.2,1,4922.4,300.0,32.5,0.0,0.0,0.0,137.0,14.83,457.0,base26
14,123.2,1,4863.6,300.0,37.0,0.0,0.0,0.0,137.0,16.89,457.0,base26
15,138.2,1,4804.7,300.0,41.5,0.0,0.0,0.0,137.0,18.94,457.0,base26
16,153.2,1,4745.7,300.0,46.0,0.0,0.0,0.0,137.0,21.0,457.0,base26
17,168.2,1,4686.5,300.0,50.5,0.1,0.0,0.0,137.0,23.06,457.0,base26
18,183.2,1,4627.3,300.0,55.0,0.1,0.0,0.0,137.0,25.11,457.0,base26
19,198.2,1,4567.9,300.0,59.5,0.1,0.0,0.0,137.0,27.17,457.0,base26
20,213.2,1,4508.4,300.0,64.0,0.1,0.0,0.0,137.0,29.23,457.0,base26
21,228.2,1,4448.7,300.0,68.5,0.1,0.0,0.0,137.0,31.28,457.0,base26
22,243.2,1,4389.0,300.0,73.0,0.1,0.0,0.0,137.0,33.34,457.0,base26
23,258.2,1,4329.1,300.0,77.5,0.1,0.0,0.0,137.0,35.39,457.0,base26
24,273.2,1,4269.1,300.0,82.0,0.1,0.0,0.0,137.0,37.45,457.0,base26
