P,So,Sw,Sg,day,case
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
5382.0,0.88,0.12,0.0,0,base14
2479.0,0.8751,0.121,0.003895,365,base14
2479.0,0.875,0.121,0.003969,365,base14
2478.0,0.8749,0.121,0.00411,365,base14
2476.0,0.8747,0.121,0.004302,365,base14
2474.0,0.8745,0.121,0.00447,365,base14
2473.0,0.8743,0.121,0.004641,365,base14
2471.0,0.8741,0.121,0.004855,365,base14
2469.0,0.8739,0.121,0.005023,365,base14
2469.0,0.8738,0.121,0.005116,365,base14
2479.0,0.875,0.121,0.003964,365,base14
2478.0,0.8749,0.121,0.004046,365,base14
2477.0,0.8748,0.121,0.004202,365,base14
2475.0,0.8745,0.121,0.004419,365,base14
2473.0,0.8744,0.121,0.00461,365,base14
2471.0,0.8742,0.121,0.004806,365,base14
2469.0,0.8739,0.121,0.005056,365,base14
2467.0,0.8737,0.121,0.005256,365,base14
2466.0,0.8736,0.121,0.005368,365,base14
2478.0,0.8749,0.121,0.004095,365,base14
2477.0,0.8748,0.121,0.004193,365,base14
2475.0,0.8746,0.121,0.004382,365,base14
2473.0,0.8743,0.121,0.004648,365,base14
2471.0,0.8741,0.121,0.004887,365,base14
2468.0,0.8738,0.121,0.005138,365,base14
2466.0,0.8735,0.121,0.005468,365,base14
2463.0,0.8732,0.121,0.005739,365,base14
2462.0,0.8731,0.121,0.005894,365,base14
2476.0,0.8747,0.121,0.004272,365,base14
2475.0,0.8746,0.121,0.004394,365,base14
2473.0,0.8743,0.121,0.004633,365,base14
2470.0,0.874,0.121,0.004976,365,base14
2467.0,0.8737,0.121,0.005299,365,base14
2464.0,0.8733,0.121,0.005637,365,base14
2460.0,0.8729,0.121,0.006104,365,base14
2457.0,0.8724,0.121,0.006506,365,base14
2454.0,0.8722,0.121,0.006747,365,base14
2475.0,0.8745,0.121,0.004425,365,base14
2473.0,0.8744,0.121,0.00457,365,base14
2471.0,0.8741,0.121,0.004857,365,base14
2467.0,0.8737,0.121,0.005283,365,base14
2464.0,0.8733,0.121,0.005693,365,base14
2460.0,0.8728,0.121,0.006132,365,base14
2454.0,0.8722,0.121,0.006768,365,base14
2449.0,0.8716,0.121,0.00735,365,base14
2446.0,0.8712,0.121,0.00772,365,base14
2473.0,0.8744,0.121,0.004579,365,base14
2472.0,0.8742,0.121,0.004749,365,base14
2469.0,0.8739,0.121,0.00509,365,base14
2464.0,0.8734,0.121,0.005604,365,base14
2460.0,0.8728,0.121,0.006114,365,base14
2455.0,0.8723,0.121,0.006669,365,base14
2448.0,0.8714,0.121,0.007514,365,base14
2441.0,0.8706,0.121,0.008331,365,base14
2436.0,0.8701,0.1211,0.008887,365,base14
2472.0,0.8742,0.121,0.004776,365,base14
2470.0,0.874,0.121,0.004981,365,base14
2466.0,0.8736,0.121,0.005402,365,base14
2461.0,0.8729,0.121,0.006053,365,base14
2455.0,0.8722,0.121,0.006732,365,base14
2448.0,0.8715,0.121,0.007496,365,base14
2437.0,0.8702,0.1211,0.008768,365,base14
2425.0,0.8688,0.1211,0.01017,365,base14
2416.0,0.8676,0.1211,0.01131,365,base14
2470.0,0.874,0.121,0.004931,365,base14
2468.0,0.8738,0.121,0.005169,365,base14
2464.0,0.8733,0.121,0.005661,365,base14
2457.0,0.8725,0.121,0.006443,365,base14
2450.0,0.8717,0.121,0.007301,365,base14
2441.0,0.8706,0.121,0.008301,365,base14
2425.0,0.8688,0.1211,0.01016,365,base14
