time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5331.4,200.0,0.2,0.0,0.0,0.0,91.0,0.09,457.0,base25
2,2.0,1,5325.9,200.0,0.4,0.1,0.0,0.0,91.0,0.18,457.0,base25
3,3.5,1,5318.0,200.0,0.7,0.1,0.0,0.0,91.0,0.32,457.0,base25
4,5.8,1,5306.1,200.0,1.1,0.1,0.0,0.0,91.0,0.53,457.0,base25
5,9.1,1,5288.3,200.0,1.8,0.1,0.0,0.0,91.0,0.83,457.0,base25
6,14.2,1,5261.6,200.0,2.8,0.1,0.0,0.0,91.0,1.3,457.0,base25
7,21.8,1,5221.4,200.0,4.4,0.1,0.0,0.0,91.0,1.99,457.0,base25
8,33.2,1,5161.2,200.0,6.6,0.1,0.0,0.0,91.0,3.03,457.0,base25
9,48.2,1,5081.8,200.0,9.6,0.1,0.0,0.0,91.0,4.4,457.0,base25
10,63.2,1,5002.2,200.0,12.6,0.1,0.0,0.0,91.0,5.77,457.0,base25
11,78.2,1,4922.4,200.0,15.6,0.1,0.0,0.0,91.0,7.14,457.0,base25
12,93.2,1,4842.7,200.0,18.6,0.1,0.0,0.0,91.0,8.52,457.0,base25
13,108.2,1,4763.2,200.0,21.6,0.1,0.0,0.0,91.0,9.89,457.0,base25
14,123.2,1,4683.6,200.0,24.6,0.1,0.0,0.0,91.0,11.26,457.0,base25
15,138.2,1,4603.8,200.0,27.6,0.1,0.0,0.0,91.0,12.63,457.0,base25
16,153.2,1,4523.8,200.0,30.6,0.1,0.0,0.0,91.0,14.0,457.0,base25
17,168.2,1,4443.6,200.0,33.6,0.1,0.0,0.0,91.0,15.37,457.0,base25
18,183.2,1,4363.2,200.0,36.6,0.1,0.0,0.0,91.0,16.74,457.0,base25
19,198.2,1,4282.5,200.0,39.6,0.1,0.0,0.0,91.0,18.11,457.0,base25
20,213.2,1,4201.7,200.0,42.6,0.1,0.0,0.0,91.0,19.48,457.0,base25
21,228.2,1,4120.7,200.0,45.6,0.1,0.0,0.0,91.0,20.85,457.0,base25
22,243.2,1,4039.5,200.0,48.6,0.1,0.0,0.0,91.0,22.23,457.0,base25
23,258.2,1,3958.2,200.0,51.6,0.1,0.0,0.0,91.0,23.6,457.0,base25
24,273.2,1,3876.8,200.0,54.6,0.1,0.0,0.0,91.0,24.97,457.0,base25
25,288.2,2,3795.9,200.0,57.6,0.1,0.0,0.0,91.0,26.34,457.0,base25
26,303.2,1,3714.9,200.0,60.6,0.1,0.0,0.0,91.0,27.7,454.0,base25
27,318.2,2,3634.9,200.0,63.6,0.1,0.0,0.0,89.0,29.03,444.0,base25
28,319.2,4,3466.7,200.0,63.8,0.1,0.0,0.0,95.0,29.13,475.0,base25
29,320.2,2,3461.7,200.0,64.0,0.1,0.0,0.0,63.0,29.19,314.0,base25
30,321.7,1,3454.2,200.0,64.3,0.1,0.0,0.0,65.0,29.29,324.0,base25
31,323.9,1,3442.9,200.0,64.8,0.1,0.0,0.0,67.0,29.44,337.0,base25
32,327.3,1,3425.7,200.0,65.5,0.1,0.0,0.0,71.0,29.68,355.0,base25
33,332.4,2,3399.5,200.0,66.5,0.1,0.0,0.0,76.0,30.06,378.0,base25
34,340.0,2,3360.3,200.0,68.0,0.1,0.0,0.0,81.0,30.68,407.0,base25
35,341.0,3,3239.7,200.0,68.2,0.1,0.0,0.0,87.0,30.77,434.0,base25
36,342.0,1,3234.0,200.0,68.4,0.1,0.0,0.0,125.0,30.89,626.0,base25
37,343.5,2,3224.9,200.0,68.7,0.1,0.0,0.0,139.0,31.1,697.0,base25
38,345.7,1,3210.7,200.0,69.1,0.1,0.0,0.0,136.0,31.41,678.0,base25
39,349.1,1,3190.0,200.0,69.8,0.1,0.0,0.0,117.0,31.8,584.0,base25
40,354.1,1,3161.0,200.0,70.8,0.1,0.0,0.0,97.0,32.29,487.0,base25
41,361.7,2,3122.5,200.0,72.3,0.1,0.0,0.0,72.0,32.84,360.0,base25
42,362.7,3,3087.2,200.0,72.5,0.1,0.0,0.0,118.0,32.96,592.0,base25
43,363.7,2,3081.7,200.0,72.7,0.1,0.0,0.0,62.0,33.02,312.0,base25
44,364.7,2,3076.3,200.0,72.9,0.1,0.0,0.0,67.0,33.09,333.0,base25
45,365.0,1,3074.9,200.0,73.0,0.1,0.0,0.0,69.0,33.11,345.0,base25
46,366.0,3,3075.8,151.8,73.2,0.1,0.0,0.0,59.0,33.16,388.0,base25
47,367.0,1,3076.4,107.8,73.3,0.1,0.0,0.0,79.0,33.24,728.0,base25
48,368.0,1,3076.9,115.8,73.4,0.1,0.0,0.0,75.0,33.32,648.0,base25
