time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5331.3,200.0,0.2,0.0,0.0,0.0,91.0,0.09,457.0,base24
2,2.0,1,5325.9,200.0,0.4,0.0,0.0,0.0,91.0,0.18,457.0,base24
3,3.5,1,5318.0,200.0,0.7,0.0,0.0,0.0,91.0,0.32,457.0,base24
4,5.8,1,5306.1,200.0,1.1,0.0,0.0,0.0,91.0,0.53,457.0,base24
5,9.1,1,5288.3,200.0,1.8,0.0,0.0,0.0,91.0,0.83,457.0,base24
6,14.2,1,5261.6,200.0,2.8,0.0,0.0,0.0,91.0,1.3,457.0,base24
7,21.8,1,5221.5,200.0,4.4,0.0,0.0,0.0,91.0,1.99,457.0,base24
8,33.2,1,5161.2,200.0,6.6,0.0,0.0,0.0,91.0,3.03,457.0,base24
9,48.2,1,5081.7,200.0,9.6,0.0,0.0,0.0,91.0,4.4,457.0,base24
10,63.2,1,5001.9,200.0,12.6,0.0,0.0,0.0,91.0,5.77,457.0,base24
11,78.2,1,4922.1,200.0,15.6,0.0,0.0,0.0,91.0,7.14,457.0,base24
12,93.2,1,4842.9,200.0,18.6,0.0,0.0,0.0,91.0,8.52,457.0,base24
13,108.2,1,4763.5,200.0,21.6,0.0,0.0,0.0,91.0,9.89,457.0,base24
14,123.2,1,4684.0,200.0,24.6,0.0,0.0,0.0,91.0,11.26,457.0,base24
15,138.2,1,4604.2,200.0,27.6,0.0,0.0,0.0,91.0,12.63,457.0,base24
16,153.2,1,4524.2,200.0,30.6,0.0,0.0,0.0,91.0,14.0,457.0,base24
17,168.2,1,4443.9,200.0,33.6,0.0,0.0,0.0,91.0,15.37,457.0,base24
18,183.2,1,4363.5,200.0,36.6,0.0,0.0,0.0,91.0,16.74,457.0,base24
19,198.2,1,4282.8,200.0,39.6,0.0,0.0,0.0,91.0,18.11,457.0,base24
20,213.2,1,4201.9,200.0,42.6,0.1,0.0,0.0,91.0,19.48,457.0,base24
21,228.2,1,4120.8,200.0,45.6,0.1,0.0,0.0,91.0,20.85,457.0,base24
22,243.2,1,4039.5,200.0,48.6,0.1,0.0,0.0,91.0,22.23,457.0,base24
23,258.2,1,3957.9,200.0,51.6,0.1,0.0,0.0,91.0,23.6,457.0,base24
24,273.2,1,3876.9,200.0,54.6,0.1,0.0,0.0,91.0,24.97,457.0,base24
25,288.2,1,3796.0,200.0,57.6,0.1,0.0,0.0,91.0,26.34,457.0,base24
26,303.2,1,3714.9,200.0,60.6,0.1,0.0,0.0,91.0,27.71,457.0,base24
27,318.2,1,3633.6,200.0,63.6,0.1,0.0,0.0,91.0,29.08,457.0,base24
28,333.2,1,3552.0,200.0,66.6,0.1,0.0,0.0,91.0,30.45,457.0,base24
29,348.2,1,3470.2,200.0,69.6,0.1,0.0,0.0,91.0,31.82,457.0,base24
30,363.2,1,3388.2,200.0,72.6,0.1,0.0,0.0,91.0,33.19,457.0,base24
31,365.0,1,3378.0,200.0,73.0,0.1,0.0,0.0,91.0,33.36,457.0,base24
32,366.0,2,3378.8,146.7,73.1,0.1,0.0,0.0,67.0,33.43,457.0,base24
33,367.0,1,3378.9,146.7,73.3,0.1,0.0,0.0,67.0,33.49,457.0,base24
34,368.5,1,3379.1,146.7,73.5,0.1,0.0,0.0,67.0,33.59,457.0,base24
35,369.5,2,3379.5,146.7,73.7,0.1,0.0,0.0,67.0,33.66,457.0,base24
36,370.5,1,3379.6,146.7,73.8,0.1,0.0,0.0,67.0,33.73,457.0,base24
37,372.0,1,3379.7,146.7,74.0,0.1,0.0,0.0,67.0,33.83,457.0,base24
38,374.3,1,3379.9,146.7,74.4,0.1,0.0,0.0,67.0,33.98,457.0,base24
39,375.2,2,3380.5,146.7,74.5,0.1,0.0,0.0,67.0,34.05,457.0,base24
40,376.3,1,3380.6,146.7,74.7,0.1,0.0,0.0,67.0,34.11,457.0,base24
41,377.7,1,3380.7,146.7,74.9,0.1,0.0,0.0,67.0,34.22,457.0,base24
42,380.0,1,3380.9,146.7,75.2,0.1,0.0,0.0,67.0,34.37,457.0,base24
43,383.4,1,3381.2,146.7,75.7,0.1,0.0,0.0,67.0,34.59,457.0,base24
44,384.4,2,3382.1,146.7,75.8,0.1,0.0,0.0,67.0,34.66,457.0,base24
45,385.4,1,3382.2,146.7,76.0,0.1,0.0,0.0,67.0,34.73,457.0,base24
46,386.9,1,3382.4,146.7,76.2,0.1,0.0,0.0,67.0,34.83,457.0,base24
47,389.1,1,3382.6,146.7,76.5,0.1,0.0,0.0,67.0,34.98,457.0,base24
48,392.5,1,3382.9,146.7,77.0,0.1,0.0,0.0,67.0,35.2,457.0,base24
49,397.6,1,3383.3,146.7,77.8,0.1,0.0,0.0,67.0,35.54,457.0,base24
50,398.6,2,3384.6,146.7,77.9,0.1,0.0,0.0,67.0,35.61,457.0,base24
51,399.6,1,3384.7,146.7,78.1,0.1,0.0,0.0,67.0,35.68,457.0,base24
52,401.1,1,3384.9,146.7,78.3,0.1,0.0,0.0,67.0,35.78,457.0,base24
53,403.3,1,3385.1,146.7,78.6,0.1,0.0,0.0,67.0,35.93,457.0,base24
54,406.7,1,3385.4,146.7,79.1,0.1,0.0,0.0,67.0,36.16,457.0,base24
55,411.7,1,3385.8,146.7,79.9,0.1,0.0,0.0,67.0,36.5,457.0,base24
56,412.8,2,3387.1,146.8,80.0,0.1,0.0,0.0,67.0,36.56,457.0,base24
57,413.8,1,3387.2,146.8,80.2,0.1,0.0,0.0,67.0,36.63,457.0,base24
58,415.2,1,3387.4,146.8,80.4,0.1,0.0,0.0,67.0,36.73,457.0,base24
59,417.5,1,3387.6,146.8,80.7,0.1,0.0,0.0,67.0,36.88,457.0,base24
60,420.9,1,3387.9,146.8,81.2,0.1,0.0,0.0,67.0,37.11,457.0,base24
61,425.9,1,3388.3,146.8,81.9,0.1,0.0,0.0,67.0,37.45,457.0,base24
62,433.5,1,3389.0,146.8,83.1,0.1,0.0,0.0,67.0,37.96,457.0,base24
63,434.5,2,3391.0,146.8,83.2,0.1,0.0,0.0,67.0,38.02,457.0,base24
64,435.5,1,3391.2,146.8,83.4,0.1,0.0,0.0,67.0,38.09,457.0,base24
65,437.0,1,3391.3,146.8,83.6,0.1,0.0,0.0,67.0,38.19,457.0,base24
66,439.3,1,3391.5,146.8,83.9,0.1,0.0,0.0,67.0,38.34,457.0,base24
67,442.7,1,3391.8,146.8,84.4,0.1,0.0,0.0,67.0,38.57,457.0,base24
68,447.7,1,3392.3,146.8,85.1,0.1,0.0,0.0,67.0,38.91,457.0,base24
69,455.3,1,3393.0,146.8,86.3,0.1,0.0,0.0,67.0,39.42,457.0,base24
70,456.3,2,3394.9,146.8,86.4,0.1,0.0,0.0,67.0,39.48,457.0,base24
71,457.3,1,3395.1,146.8,86.5,0.1,0.0,0.0,67.0,39.55,457.0,base24
