time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.5,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base8
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base8
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base8
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base8
5,9.1,1,5242.6,300.0,2.7,0.0,0.0,0.0,137.0,1.25,457.0,base8
6,14.2,1,5202.8,300.0,4.3,0.0,0.0,0.0,137.0,1.95,457.0,base8
7,21.8,1,5143.1,300.0,6.5,0.0,0.0,0.0,137.0,2.99,457.0,base8
8,33.2,1,5053.4,300.0,10.0,0.0,0.0,0.0,137.0,4.55,457.0,base8
9,34.2,2,4819.7,300.0,10.3,0.0,0.0,0.0,137.0,4.68,457.0,base8
10,35.2,1,4812.2,300.0,10.6,0.0,0.0,0.0,137.0,4.82,457.0,base8
11,36.7,1,4800.4,300.0,11.0,0.0,0.0,0.0,137.0,5.03,457.0,base8
12,38.9,1,4782.6,300.0,11.7,0.0,0.0,0.0,137.0,5.34,457.0,base8
13,42.3,1,4756.0,300.0,12.7,0.0,0.0,0.0,137.0,5.8,457.0,base8
14,47.4,1,4716.1,300.0,14.2,0.0,0.0,0.0,137.0,6.49,457.0,base8
15,55.0,1,4656.1,300.0,16.5,0.0,0.0,0.0,137.0,7.53,457.0,base8
16,66.3,1,4565.9,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base8
17,67.3,2,4336.3,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base8
18,68.3,1,4327.7,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base8
19,69.8,1,4315.7,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base8
20,72.1,1,4297.7,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base8
21,75.5,1,4270.7,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base8
22,80.5,1,4230.2,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base8
23,88.1,1,4169.3,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base8
24,99.5,1,4077.9,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base8
25,100.5,2,3840.5,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base8
26,101.5,1,3832.5,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base8
27,103.0,1,3820.5,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base8
28,105.3,1,3802.4,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base8
29,108.6,1,3775.3,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base8
30,113.7,1,3734.5,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base8
31,121.3,1,3673.3,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base8
32,132.7,1,3581.4,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base8
33,133.7,2,3347.2,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base8
34,134.7,1,3338.4,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base8
35,136.2,1,3326.2,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base8
36,138.4,1,3307.8,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base8
37,141.8,1,3280.3,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base8
38,146.9,1,3238.9,300.0,44.1,0.1,0.0,0.0,137.0,20.14,457.0,base8
39,154.5,1,3176.9,300.0,46.3,0.1,0.0,0.0,137.0,21.18,457.0,base8
40,165.9,1,3083.6,300.0,49.8,0.1,0.0,0.0,137.0,22.74,457.0,base8
41,166.9,2,2843.3,300.0,50.1,0.1,0.0,0.0,137.0,22.88,457.0,base8
42,167.9,1,2834.5,300.0,50.4,0.2,0.0,0.0,137.0,23.01,457.0,base8
43,169.4,1,2822.2,300.0,50.8,0.2,0.0,0.0,137.0,23.22,457.0,base8
44,171.6,1,2803.7,300.0,51.5,0.2,0.0,0.0,137.0,23.53,457.0,base8
45,175.0,1,2776.0,300.0,52.5,0.2,0.0,0.0,137.0,23.99,457.0,base8
46,180.0,1,2734.3,300.0,54.0,0.2,0.0,0.0,137.0,24.68,457.0,base8
47,187.6,1,2671.7,300.0,56.3,0.2,0.0,0.0,137.0,25.72,457.0,base8
48,199.0,1,2577.7,300.0,59.7,0.2,0.0,0.0,137.0,27.29,457.0,base8
49,214.0,2,2492.2,300.0,64.2,0.2,0.0,0.0,137.0,29.34,457.0,base8
50,229.0,1,2434.1,300.0,68.7,0.2,0.0,0.0,134.0,31.35,446.0,base8
51,244.0,1,2388.2,300.0,73.2,0.2,0.0,0.0,132.0,33.33,439.0,base8
52,259.0,3,2343.6,300.0,77.7,0.2,0.0,0.0,158.0,35.7,528.0,base8
53,274.0,2,2304.9,300.0,82.2,0.2,0.0,0.0,120.0,37.5,399.0,base8
54,289.0,1,2265.4,300.0,86.7,0.2,0.0,0.0,138.0,39.56,459.0,base8
55,296.5,4,2202.2,300.0,89.0,0.3,0.0,0.0,216.0,41.18,721.0,base8
56,307.8,2,2172.6,300.0,92.3,0.3,0.0,0.0,189.0,43.31,632.0,base8
57,322.8,2,2134.3,300.0,96.8,0.3,0.0,0.0,187.0,46.13,625.0,base8
58,337.8,2,2096.7,300.0,101.3,0.3,0.1,0.0,191.0,48.99,636.0,base8
59,352.8,2,2060.3,300.0,105.8,0.3,0.1,0.0,199.0,51.97,663.0,base8
60,365.0,2,2030.8,300.0,109.5,0.3,0.1,0.0,209.0,54.52,697.0,base8
61,370.0,2,2035.2,52.0,109.8,0.0,0.1,0.0,38.0,54.71,727.0,base8
62,377.5,1,2041.9,52.2,110.2,0.0,0.1,0.0,39.0,55.0,739.0,base8
63,388.8,1,2052.0,52.2,110.7,0.0,0.1,0.0,39.0,55.44,742.0,base8
64,403.7,1,2065.7,52.2,111.5,0.0,0.1,0.0,39.0,56.02,746.0,base8
65,418.8,1,2079.7,52.2,112.3,0.0,0.1,0.0,39.0,56.61,750.0,base8
66,433.8,1,2094.1,52.2,113.1,0.0,0.1,0.0,39.0,57.2,753.0,base8
67,448.7,1,2108.9,52.3,113.9,0.0,0.1,0.0,39.0,57.79,754.0,base8
68,463.8,1,2124.4,52.3,114.7,0.0,0.1,0.0,39.0,58.38,754.0,base8
69,478.7,1,2140.4,52.4,115.4,0.0,0.1,0.0,39.0,58.97,753.0,base8
70,493.8,1,2156.8,52.5,116.2,0.0,0.1,0.0,39.0,59.56,751.0,base8
71,508.8,1,2173.5,52.7,117.0,0.0,0.1,0.0,39.0,60.15,747.0,base8
72,523.7,1,2190.7,52.8,117.8,0.0,0.1,0.0,39.0,60.74,742.0,base8
73,538.8,1,2208.5,53.0,118.6,0.0,0.1,0.0,39.0,61.33,736.0,base8
74,553.7,2,2227.2,53.2,119.4,0.0,0.1,0.0,39.0,61.91,729.0,base8
75,568.8,1,2246.1,53.5,120.2,0.0,0.1,0.0,38.0,62.49,720.0,base8
76,583.8,1,2265.9,53.7,121.0,0.0,0.1,0.0,38.0,63.06,709.0,base8
77,598.7,1,2286.5,54.0,121.8,0.0,0.1,0.0,38.0,63.62,698.0,base8
78,613.8,2,2308.6,54.3,122.6,0.0,0.1,0.0,37.0,64.18,685.0,base8
79,628.7,2,2331.4,54.7,123.5,0.0,0.1,0.0,37.0,64.73,671.0,base8
80,643.8,2,2356.0,55.0,124.3,0.0,0.1,0.0,36.0,65.27,657.0,base8
81,658.8,2,2382.2,55.5,125.1,0.0,0.1,0.0,36.0,65.81,641.0,base8
82,673.7,2,2410.2,56.0,126.0,0.0,0.1,0.0,35.0,66.33,626.0,base8
83,688.8,2,2441.5,56.4,126.8,0.0,0.1,0.0,35.0,66.85,612.0,base8
84,703.7,2,2476.0,56.9,127.7,0.0,0.1,0.0,34.0,67.36,601.0,base8
85,718.8,2,2516.2,57.3,128.5,0.0,0.1,0.0,34.0,67.87,592.0,base8
86,730.0,3,2559.8,57.8,129.2,0.0,0.1,0.0,34.0,68.25,585.0,base8
87,735.0,1,2573.9,116.0,129.7,0.1,0.1,0.0,68.0,68.59,583.0,base8
88,742.5,2,2595.3,116.0,130.6,0.1,0.1,0.0,67.0,69.09,579.0,base8
89,753.7,2,2627.2,116.2,131.9,0.1,0.1,0.0,67.0,69.85,575.0,base8
90,768.8,2,2669.9,116.4,133.7,0.1,0.1,0.0,66.0,70.84,569.0,base8
91,783.8,2,2712.8,116.7,135.4,0.1,0.1,0.0,66.0,71.82,562.0,base8
92,798.7,2,2755.9,117.1,137.2,0.1,0.1,0.0,65.0,72.8,555.0,base8
93,813.7,2,2798.9,117.6,138.9,0.1,0.1,0.0,64.0,73.77,549.0,base8
94,828.7,2,2842.0,118.1,140.7,0.1,0.1,0.0,64.0,74.73,542.0,base8
95,843.8,2,2885.0,118.6,142.5,0.1,0.1,0.0,64.0,75.68,537.0,base8
96,858.8,2,2928.0,119.1,144.3,0.1,0.1,0.0,63.0,76.63,532.0,base8
97,873.8,2,2970.9,119.7,146.1,0.1,0.1,0.0,63.0,77.58,528.0,base8
98,888.7,2,3013.7,120.3,147.9,0.1,0.1,0.0,63.0,78.52,524.0,base8
99,903.7,2,3056.8,120.8,149.7,0.1,0.1,0.0,63.0,79.47,521.0,base8
100,918.8,2,3099.9,121.4,151.5,0.1,0.1,0.0,63.0,80.41,518.0,base8
101,933.8,2,3142.9,121.9,153.3,0.1,0.1,0.0,63.0,81.35,513.0,base8
102,948.8,2,3185.8,122.5,155.2,0.1,0.1,0.0,62.0,82.29,509.0,base8
103,963.7,2,3228.7,123.0,157.0,0.1,0.1,0.0,62.0,83.22,506.0,base8
104,978.7,2,3271.5,123.5,158.9,0.1,0.1,0.0,62.0,84.15,503.0,base8
105,993.8,2,3314.2,124.0,160.7,0.1,0.1,0.0,62.0,85.08,500.0,base8
106,1008.8,2,3356.9,124.5,162.6,0.1,0.1,0.0,62.0,86.01,498.0,base8
107,1023.8,2,3399.4,125.0,164.5,0.1,0.1,0.0,62.0,86.94,496.0,base8
108,1038.8,2,3441.8,125.5,166.4,0.1,0.1,0.0,62.0,87.87,494.0,base8
109,1053.7,2,3484.1,126.0,168.2,0.1,0.1,0.0,62.0,88.8,493.0,base8
110,1068.8,2,3526.3,126.5,170.1,0.1,0.1,0.0,62.0,89.73,492.0,base8
111,1083.7,2,3568.4,127.0,172.0,0.0,0.1,0.0,62.0,90.67,491.0,base8
112,1095.0,2,3599.8,127.5,173.5,0.0,0.1,0.0,62.0,91.37,490.0,base8
113,1110.0,2,3641.7,127.9,175.4,0.0,0.1,0.0,63.0,92.31,490.0,base8
114,1125.0,2,3683.4,128.4,177.3,0.0,0.1,0.0,63.0,93.25,489.0,base8
115,1140.0,2,3725.0,128.9,179.3,0.0,0.1,0.0,63.0,94.2,489.0,base8
116,1155.0,2,3766.4,129.4,181.2,0.0,0.1,0.0,63.0,95.15,489.0,base8
117,1170.0,2,3807.7,129.9,183.1,0.0,0.1,0.0,63.0,96.1,489.0,base8
118,1185.0,2,3848.9,130.4,185.1,0.0,0.1,0.0,64.0,97.06,489.0,base8
119,1200.0,2,3889.9,130.9,187.1,0.0,0.1,0.0,64.0,98.02,489.0,base8
120,1215.0,2,3930.7,131.4,189.0,0.0,0.1,0.0,64.0,98.98,489.0,base8
121,1230.0,2,3971.4,131.9,191.0,0.0,0.1,0.0,65.0,99.95,490.0,base8
122,1245.0,2,4012.0,132.4,193.0,0.0,0.1,0.0,65.0,100.92,490.0,base8
123,1260.0,2,4052.8,133.0,195.0,0.0,0.1,0.0,65.0,101.9,490.0,base8
124,1275.0,2,4093.5,133.5,197.0,0.0,0.1,0.0,66.0,102.88,491.0,base8
125,1290.0,2,4134.2,134.0,199.0,0.0,0.1,0.0,66.0,103.86,489.0,base8
126,1305.0,2,4174.8,134.4,201.0,0.0,0.1,0.0,66.0,104.85,488.0,base8
127,1320.0,2,4215.3,134.9,203.0,0.0,0.1,0.0,66.0,105.83,487.0,base8
128,1335.0,2,4255.6,135.3,205.1,0.0,0.1,0.0,66.0,106.82,486.0,base8
129,1350.0,2,4295.9,135.8,207.1,0.0,0.1,0.0,66.0,107.81,485.0,base8
130,1365.0,2,4336.1,136.2,209.2,0.0,0.1,0.0,66.0,108.8,484.0,base8
131,1380.0,2,4376.1,136.7,211.2,0.0,0.1,0.0,66.0,109.79,484.0,base8
132,1395.0,2,4416.1,137.1,213.3,0.0,0.1,0.0,66.0,110.78,484.0,base8
133,1410.0,2,4455.9,137.6,215.3,0.0,0.1,0.0,66.0,111.78,483.0,base8
134,1425.0,2,4495.7,138.0,217.4,0.0,0.1,0.0,67.0,112.78,483.0,base8
135,1440.0,2,4535.3,138.5,219.5,0.0,0.1,0.0,67.0,113.78,483.0,base8
136,1455.0,2,4574.7,138.9,221.6,0.0,0.1,0.0,67.0,114.79,483.0,base8
137,1460.0,2,4587.9,139.4,222.3,0.0,0.1,0.0,67.0,115.13,483.0,base8
138,1465.0,2,4590.7,209.3,223.3,0.0,0.1,0.0,101.0,115.63,483.0,base8
139,1472.5,2,4594.7,209.3,224.9,0.0,0.1,0.0,100.0,116.39,480.0,base8
140,1483.7,2,4600.7,209.5,227.2,0.0,0.1,0.0,100.0,117.51,478.0,base8
141,1498.8,2,4608.7,209.9,230.4,0.0,0.1,0.0,100.0,119.01,475.0,base8
142,1513.7,2,4616.7,210.3,233.5,0.0,0.1,0.0,99.0,120.49,472.0,base8
143,1528.8,2,4624.6,210.6,236.7,0.0,0.1,0.0,99.0,121.98,469.0,base8
144,1543.7,2,4632.6,210.9,239.9,0.0,0.1,0.0,99.0,123.45,467.0,base8
145,1558.8,2,4640.5,211.2,243.0,0.0,0.1,0.0,98.0,124.93,466.0,base8
146,1573.7,2,4648.3,211.5,246.2,0.0,0.1,0.0,98.0,126.4,464.0,base8
147,1588.8,2,4656.2,211.7,249.4,0.0,0.1,0.0,98.0,127.87,463.0,base8
148,1603.8,2,4664.0,211.9,252.6,0.0,0.1,0.0,98.0,129.34,463.0,base8
149,1618.7,2,4671.8,212.1,255.7,0.0,0.1,0.0,98.0,130.81,462.0,base8
150,1633.8,2,4679.5,212.3,258.9,0.0,0.1,0.0,98.0,132.28,462.0,base8
151,1648.7,2,4687.2,212.4,262.1,0.0,0.1,0.0,98.0,133.75,461.0,base8
152,1663.8,2,4694.9,212.6,265.3,0.0,0.1,0.0,98.0,135.22,461.0,base8
153,1678.7,2,4702.5,212.7,268.5,0.0,0.1,0.0,98.0,136.69,461.0,base8
154,1693.8,2,4710.1,212.9,271.7,0.0,0.1,0.0,98.0,138.16,460.0,base8
155,1708.7,2,4717.6,213.0,274.9,0.0,0.1,0.0,98.0,139.63,460.0,base8
156,1723.7,2,4725.2,213.2,278.1,0.0,0.1,0.0,98.0,141.1,460.0,base8
157,1738.8,2,4732.6,213.3,281.3,0.0,0.1,0.0,98.0,142.58,460.0,base8
158,1753.7,2,4740.1,213.5,284.5,0.0,0.1,0.0,98.0,144.05,460.0,base8
159,1768.8,2,4747.5,213.6,287.7,0.0,0.1,0.0,98.0,145.52,460.0,base8
160,1783.7,2,4754.8,213.8,290.9,0.0,0.1,0.0,98.0,147.0,460.0,base8
161,1798.8,2,4762.2,213.9,294.1,0.0,0.1,0.0,98.0,148.47,460.0,base8
162,1813.7,2,4769.5,214.0,297.3,0.0,0.1,0.0,98.0,149.95,460.0,base8
163,1825.0,2,4774.9,214.2,299.7,0.0,0.1,0.0,98.0,151.05,460.0,base8
164,1840.0,2,4782.1,214.3,302.9,0.0,0.1,0.0,98.0,152.53,460.0,base8
165,1855.0,2,4789.3,214.4,306.1,0.0,0.1,0.0,99.0,154.01,460.0,base8
166,1870.0,2,4796.5,214.6,309.4,0.0,0.1,0.0,99.0,155.49,460.0,base8
167,1885.0,2,4803.6,214.7,312.6,0.0,0.1,0.0,99.0,156.97,459.0,base8
168,1900.0,2,4810.7,214.8,315.8,0.0,0.1,0.0,99.0,158.45,459.0,base8
169,1915.0,2,4817.7,215.0,319.0,0.0,0.1,0.0,99.0,159.93,459.0,base8
170,1930.0,2,4824.7,215.1,322.3,0.0,0.1,0.0,99.0,161.41,459.0,base8
171,1945.0,2,4831.6,215.2,325.5,0.0,0.1,0.0,99.0,162.9,459.0,base8
172,1960.0,2,4838.6,215.3,328.7,0.0,0.1,0.0,99.0,164.38,459.0,base8
173,1975.0,2,4845.5,215.5,331.9,0.0,0.1,0.0,99.0,165.86,459.0,base8
174,1990.0,2,4852.3,215.6,335.2,0.0,0.1,0.0,99.0,167.35,459.0,base8
175,2005.0,2,4859.1,215.7,338.4,0.0,0.1,0.0,99.0,168.84,459.0,base8
176,2020.0,2,4865.9,215.9,341.7,0.1,0.1,0.0,99.0,170.32,459.0,base8
177,2035.0,2,4872.6,216.0,344.9,0.1,0.1,0.0,99.0,171.81,459.0,base8
178,2050.0,2,4879.3,216.1,348.1,0.1,0.1,0.0,99.0,173.3,459.0,base8
179,2065.0,2,4886.0,216.3,351.4,0.1,0.1,0.0,99.0,174.79,459.0,base8
180,2080.0,2,4892.6,216.4,354.6,0.1,0.1,0.0,99.0,176.28,459.0,base8
181,2095.0,2,4899.2,216.5,357.9,0.1,0.1,0.0,99.0,177.77,459.0,base8
182,2110.0,2,4905.8,216.6,361.1,0.1,0.1,0.0,99.0,179.26,459.0,base8
183,2125.0,2,4912.3,216.8,364.4,0.1,0.1,0.0,100.0,180.75,459.0,base8
184,2140.0,2,4918.8,216.9,367.6,0.1,0.1,0.0,100.0,182.25,459.0,base8
185,2155.0,2,4925.3,217.0,370.9,0.1,0.1,0.0,100.0,183.74,459.0,base8
186,2170.0,2,4931.7,217.1,374.1,0.1,0.1,0.0,100.0,185.24,459.0,base8
187,2185.0,2,4938.1,217.2,377.4,0.1,0.1,0.0,100.0,186.73,459.0,base8
188,2190.0,2,4940.2,217.4,378.5,0.1,0.1,0.0,100.0,187.23,459.0,base8
189,2197.5,2,4943.3,217.4,380.1,0.1,0.1,0.0,100.0,187.98,459.0,base8
190,2208.8,2,4948.1,217.5,382.6,0.1,0.1,0.0,100.0,189.1,459.0,base8
191,2223.7,2,4954.4,217.5,385.8,0.1,0.2,0.0,100.0,190.6,459.0,base8
192,2238.8,2,4960.6,217.7,389.1,0.1,0.2,0.0,100.0,192.1,459.0,base8
193,2253.8,2,4966.8,217.8,392.4,0.1,0.2,0.0,100.0,193.6,459.0,base8
194,2268.7,2,4973.0,217.9,395.6,0.1,0.2,0.0,100.0,195.1,459.0,base8
195,2283.7,2,4979.2,218.0,398.9,0.1,0.2,0.0,100.0,196.6,459.0,base8
196,2298.8,2,4985.3,218.1,402.2,0.1,0.2,0.0,100.0,198.1,459.0,base8
197,2313.8,2,4991.4,218.2,405.4,0.2,0.2,0.0,100.0,199.6,459.0,base8
198,2328.7,2,4997.4,218.3,408.7,0.2,0.2,0.0,100.0,201.1,459.0,base8
199,2343.8,2,5003.4,218.4,412.0,0.2,0.2,0.0,100.0,202.61,459.0,base8
200,2358.8,2,5009.4,218.5,415.3,0.2,0.2,0.0,100.0,204.11,459.0,base8
201,2373.7,2,5015.4,218.6,418.5,0.2,0.2,0.0,100.0,205.62,459.0,base8
202,2388.7,2,5021.3,218.7,421.8,0.2,0.2,0.0,100.0,207.12,459.0,base8
203,2403.8,2,5027.2,218.8,425.1,0.2,0.2,0.0,100.0,208.63,459.0,base8
204,2418.8,2,5033.1,218.9,428.4,0.3,0.2,0.0,100.0,210.14,459.0,base8
205,2433.7,2,5038.9,219.0,431.7,0.3,0.2,0.0,101.0,211.64,459.0,base8
206,2448.7,2,5044.8,219.1,435.0,0.3,0.2,0.0,101.0,213.15,459.0,base8
207,2463.8,2,5050.6,219.2,438.3,0.3,0.2,0.0,101.0,214.66,459.0,base8
208,2478.7,2,5056.4,219.3,441.5,0.3,0.2,0.0,101.0,216.17,459.0,base8
209,2493.7,2,5062.1,219.4,444.8,0.4,0.2,0.0,101.0,217.68,459.0,base8
210,2508.8,2,5067.8,219.5,448.1,0.4,0.2,0.0,101.0,219.19,459.0,base8
211,2523.8,2,5073.5,219.6,451.4,0.4,0.2,0.0,101.0,220.71,459.0,base8
212,2538.7,2,5079.1,219.7,454.7,0.4,0.2,0.0,101.0,222.22,459.0,base8
213,2553.7,2,5084.7,219.7,458.0,0.5,0.2,0.0,101.0,223.73,459.0,base8
214,2555.0,1,5085.2,219.8,458.3,0.5,0.2,0.0,101.0,223.86,459.0,base8
215,2560.0,2,5073.8,300.4,459.8,0.7,0.2,0.0,138.0,224.55,459.0,base8
216,2567.5,2,5056.4,300.0,462.0,0.7,0.2,0.0,137.0,225.57,455.0,base8
217,2578.7,2,5030.3,299.7,465.4,0.8,0.3,0.0,136.0,227.1,453.0,base8
218,2593.8,2,4996.1,299.2,469.9,0.8,0.3,0.0,135.0,229.12,451.0,base8
219,2608.8,2,4962.3,298.5,474.4,0.9,0.3,0.0,134.0,231.13,449.0,base8
220,2623.7,2,4928.9,297.6,478.8,1.0,0.3,0.0,133.0,233.13,447.0,base8
221,2638.7,2,4895.8,296.7,483.3,1.0,0.3,0.0,132.0,235.12,446.0,base8
222,2653.8,2,4863.0,295.8,487.7,1.1,0.3,0.0,132.0,237.09,446.0,base8
223,2668.8,2,4830.4,294.9,492.2,1.2,0.3,0.0,131.0,239.06,445.0,base8
224,2683.7,2,4798.2,293.9,496.6,1.3,0.4,0.0,131.0,241.03,445.0,base8
225,2698.7,2,4766.3,292.9,501.0,1.4,0.4,0.0,131.0,242.99,446.0,base8
226,2713.8,2,4734.6,292.0,505.3,1.5,0.4,0.01,130.0,244.94,446.0,base8
227,2728.7,2,4703.3,291.0,509.7,1.6,0.4,0.01,130.0,246.88,446.0,base8
228,2743.7,2,4672.2,290.0,514.1,1.8,0.5,0.01,129.0,248.82,446.0,base8
229,2758.8,2,4641.3,289.0,518.4,1.9,0.5,0.01,129.0,250.76,447.0,base8
230,2773.8,2,4610.8,288.1,522.7,2.0,0.5,0.01,129.0,252.69,447.0,base8
231,2788.7,2,4580.5,287.1,527.0,2.2,0.5,0.01,128.0,254.62,447.0,base8
232,2803.7,2,4550.5,286.1,531.3,2.3,0.6,0.01,128.0,256.54,448.0,base8
233,2818.8,2,4520.7,285.1,535.6,2.5,0.6,0.01,128.0,258.46,448.0,base8
234,2833.8,2,4491.3,284.2,539.8,2.7,0.7,0.01,127.0,260.37,449.0,base8
235,2848.7,2,4462.0,283.2,544.1,2.9,0.7,0.01,127.0,262.28,449.0,base8
