time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,5.0,1,5343.3,300.0,1.5,0.0,0.0,0.0,137.0,0.69,457.0,base18
2,12.5,1,5284.5,300.0,3.8,0.0,0.0,0.0,137.0,1.71,457.0,base18
3,23.8,1,5196.3,300.0,7.1,0.0,0.0,0.0,137.0,3.26,457.0,base18
4,24.8,2,4969.6,300.0,7.4,0.0,0.0,0.0,137.0,3.39,457.0,base18
5,25.8,1,4960.5,300.0,7.7,0.0,0.0,0.0,137.0,3.53,457.0,base18
6,27.3,1,4948.8,300.0,8.2,0.0,0.0,0.0,137.0,3.74,457.0,base18
7,29.5,1,4931.1,300.0,8.9,0.0,0.0,0.0,137.0,4.04,457.0,base18
8,32.9,1,4904.6,300.0,9.9,0.0,0.0,0.0,137.0,4.51,457.0,base18
9,37.9,1,4864.9,300.0,11.4,0.0,0.0,0.0,137.0,5.2,457.0,base18
10,45.5,1,4805.1,300.0,13.7,0.0,0.0,0.0,137.0,6.24,457.0,base18
11,56.9,1,4715.3,300.0,17.1,0.0,0.0,0.0,137.0,7.8,457.0,base18
12,57.9,2,4486.1,300.0,17.4,0.0,0.0,0.0,137.0,7.94,457.0,base18
13,58.9,1,4477.9,300.0,17.7,0.1,0.0,0.0,137.0,8.08,457.0,base18
14,60.4,1,4466.0,300.0,18.1,0.1,0.0,0.0,137.0,8.28,457.0,base18
15,62.7,1,4448.1,300.0,18.8,0.1,0.0,0.0,137.0,8.59,457.0,base18
16,66.0,1,4421.2,300.0,19.8,0.1,0.0,0.0,137.0,9.05,457.0,base18
17,71.1,1,4380.9,300.0,21.3,0.1,0.0,0.0,137.0,9.75,457.0,base18
18,78.7,1,4320.3,300.0,23.6,0.1,0.0,0.0,137.0,10.79,457.0,base18
19,90.1,1,4229.2,300.0,27.0,0.1,0.0,0.0,137.0,12.35,457.0,base18
20,91.1,2,3998.7,300.0,27.3,0.1,0.0,0.0,137.0,12.49,457.0,base18
21,92.1,1,3989.2,300.0,27.6,0.1,0.0,0.0,137.0,12.63,457.0,base18
22,93.6,1,3977.2,300.0,28.1,0.1,0.0,0.0,137.0,12.83,457.0,base18
23,95.8,1,3959.2,300.0,28.8,0.1,0.0,0.0,137.0,13.14,457.0,base18
24,99.2,1,3932.2,300.0,29.8,0.1,0.0,0.0,137.0,13.6,457.0,base18
25,104.3,1,3891.6,300.0,31.3,0.1,0.0,0.0,137.0,14.3,457.0,base18
26,111.9,1,3830.7,300.0,33.6,0.1,0.0,0.0,137.0,15.34,457.0,base18
