time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.5,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base13
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base13
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base13
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base13
5,9.1,1,5242.6,300.0,2.7,0.0,0.0,0.0,137.0,1.25,457.0,base13
6,14.2,1,5202.9,300.0,4.3,0.0,0.0,0.0,137.0,1.95,457.0,base13
7,21.8,1,5143.2,300.0,6.5,0.0,0.0,0.0,137.0,2.99,457.0,base13
8,33.2,1,5053.5,300.0,10.0,0.0,0.0,0.0,137.0,4.55,457.0,base13
9,34.2,2,4780.0,300.0,10.3,0.0,0.0,0.0,137.0,4.68,457.0,base13
10,35.2,1,4772.4,300.0,10.6,0.1,0.0,0.0,137.0,4.82,457.0,base13
11,36.7,1,4760.5,300.0,11.0,0.1,0.0,0.0,137.0,5.03,457.0,base13
12,38.9,1,4742.8,300.0,11.7,0.1,0.0,0.0,137.0,5.34,457.0,base13
13,42.3,1,4716.1,300.0,12.7,0.1,0.0,0.0,137.0,5.8,457.0,base13
14,47.4,1,4676.1,300.0,14.2,0.1,0.0,0.0,137.0,6.49,457.0,base13
15,55.0,1,4616.1,300.0,16.5,0.1,0.0,0.0,137.0,7.53,457.0,base13
16,66.3,1,4525.8,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base13
17,67.3,2,4258.2,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base13
18,68.3,1,4249.0,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base13
19,69.8,1,4237.0,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base13
20,72.1,1,4219.0,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base13
21,75.5,1,4191.9,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base13
22,80.5,1,4151.3,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base13
23,88.1,1,4090.3,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base13
24,99.5,1,3998.7,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base13
25,100.5,2,3719.3,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base13
26,101.5,1,3711.8,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base13
27,103.0,1,3699.7,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base13
28,105.3,1,3681.5,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base13
29,108.6,1,3654.3,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base13
30,113.7,1,3613.4,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base13
31,121.3,1,3552.0,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base13
32,132.7,1,3459.7,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base13
33,133.7,2,3186.7,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base13
34,134.7,1,3177.1,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base13
35,136.2,1,3164.8,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base13
36,138.4,1,3146.4,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base13
37,141.8,1,3118.7,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base13
38,146.9,1,3077.2,300.0,44.1,0.2,0.0,0.0,137.0,20.14,457.0,base13
39,154.5,1,3014.8,300.0,46.3,0.2,0.0,0.0,137.0,21.18,457.0,base13
40,165.9,1,2921.2,300.0,49.8,0.2,0.0,0.0,137.0,22.74,457.0,base13
41,166.9,2,2643.5,300.0,50.1,0.2,0.0,0.0,137.0,22.88,457.0,base13
42,167.9,1,2634.5,300.0,50.4,0.2,0.0,0.0,137.0,23.01,457.0,base13
43,169.4,1,2622.5,300.0,50.8,0.2,0.0,0.0,137.0,23.22,456.0,base13
44,171.6,1,2604.4,300.0,51.5,0.2,0.0,0.0,137.0,23.53,455.0,base13
45,175.0,2,2577.3,300.0,52.5,0.2,0.0,0.0,136.0,23.98,453.0,base13
46,180.0,2,2539.2,300.0,54.0,0.2,0.0,0.0,135.0,24.67,449.0,base13
47,187.6,2,2499.2,300.0,56.3,0.2,0.0,0.0,133.0,25.68,445.0,base13
48,199.0,2,2459.0,300.0,59.7,0.2,0.0,0.0,132.0,27.18,440.0,base13
49,216.1,1,2397.8,300.0,64.8,0.2,0.0,0.0,140.0,29.57,466.0,base13
50,241.7,1,2317.8,300.0,72.5,0.2,0.0,0.0,151.0,33.44,502.0,base13
51,271.7,1,2237.8,300.0,81.5,0.2,0.0,0.0,154.0,38.07,515.0,base13
52,301.7,2,2159.0,300.0,90.5,0.3,0.0,0.0,203.0,44.14,675.0,base13
53,331.7,2,2083.5,300.0,99.5,0.3,0.1,0.0,205.0,50.28,682.0,base13
54,361.7,2,2006.8,300.0,108.5,0.3,0.1,0.0,270.0,58.38,900.0,base13
55,365.0,1,2000.0,300.0,109.5,0.3,0.1,0.0,241.0,59.17,802.0,base13
56,370.0,2,2003.3,46.3,109.7,0.0,0.1,0.0,39.0,59.36,836.0,base13
57,371.0,2,2012.2,53.4,109.8,0.1,0.1,0.0,38.0,59.4,716.0,base13
58,372.0,1,2013.1,55.8,109.8,0.1,0.1,0.0,37.0,59.44,668.0,base13
59,373.5,1,2014.2,55.8,109.9,0.1,0.1,0.0,37.0,59.49,668.0,base13
60,375.7,1,2015.8,55.8,110.1,0.1,0.1,0.0,37.0,59.58,669.0,base13
61,379.1,1,2018.2,55.7,110.2,0.1,0.1,0.0,37.0,59.7,671.0,base13
62,384.2,1,2022.0,55.6,110.5,0.1,0.1,0.0,37.0,59.89,674.0,base13
63,391.8,1,2027.9,55.4,110.9,0.1,0.1,0.0,38.0,60.18,679.0,base13
64,392.8,3,2048.1,55.2,111.0,0.1,0.1,0.0,38.0,60.22,690.0,base13
65,393.8,1,2049.1,55.1,111.1,0.1,0.1,0.0,38.0,60.25,693.0,base13
66,395.3,1,2050.5,55.1,111.1,0.1,0.1,0.0,38.0,60.31,693.0,base13
67,397.5,1,2052.6,55.1,111.3,0.1,0.1,0.0,38.0,60.4,692.0,base13
68,400.9,1,2055.7,55.2,111.4,0.1,0.1,0.0,38.0,60.53,691.0,base13
69,406.0,1,2060.5,55.3,111.7,0.1,0.1,0.0,38.0,60.72,690.0,base13
70,413.6,1,2067.6,55.5,112.1,0.1,0.1,0.0,38.0,61.01,688.0,base13
71,425.0,1,2078.5,55.8,112.8,0.1,0.1,0.0,38.0,61.44,684.0,base13
72,426.0,3,2111.2,55.8,112.8,0.1,0.1,0.0,39.0,61.48,690.0,base13
73,427.0,1,2112.3,56.8,112.9,0.1,0.1,0.0,38.0,61.52,670.0,base13
74,428.5,1,2113.9,56.8,113.0,0.1,0.1,0.0,38.0,61.58,670.0,base13
75,430.7,1,2116.3,56.9,113.1,0.1,0.1,0.0,38.0,61.66,669.0,base13
76,434.1,1,2119.9,57.0,113.3,0.1,0.1,0.0,38.0,61.79,667.0,base13
77,439.1,1,2125.2,57.2,113.6,0.1,0.1,0.0,38.0,61.98,665.0,base13
78,446.7,1,2133.2,57.4,114.0,0.1,0.1,0.0,38.0,62.27,660.0,base13
79,458.1,1,2145.4,57.8,114.7,0.1,0.1,0.0,38.0,62.7,654.0,base13
80,475.2,1,2164.0,58.5,115.7,0.1,0.1,0.0,38.0,63.34,643.0,base13
81,500.8,1,2192.8,59.6,117.2,0.1,0.1,0.0,37.0,64.3,625.0,base13
82,501.8,2,2257.4,61.3,117.3,0.1,0.1,0.0,37.0,64.34,608.0,base13
83,502.8,1,2262.3,66.3,117.3,0.1,0.1,0.0,35.0,64.37,526.0,base13
84,504.3,1,2264.3,66.4,117.4,0.1,0.1,0.0,35.0,64.42,524.0,base13
85,506.6,1,2267.4,66.6,117.6,0.1,0.1,0.0,35.0,64.5,522.0,base13
86,510.0,1,2271.9,66.8,117.8,0.1,0.1,0.0,35.0,64.62,520.0,base13
87,515.0,1,2278.7,67.1,118.2,0.1,0.1,0.0,35.0,64.79,515.0,base13
88,522.6,1,2289.4,67.6,118.7,0.1,0.1,0.0,34.0,65.05,507.0,base13
89,534.0,1,2305.5,68.5,119.4,0.1,0.1,0.0,34.0,65.44,496.0,base13
90,551.1,2,2331.2,69.8,120.6,0.1,0.1,0.0,33.0,66.01,478.0,base13
91,576.7,2,2373.7,72.0,122.5,0.1,0.1,0.0,32.0,66.84,450.0,base13
92,606.7,2,2429.8,73.7,124.7,0.1,0.1,0.0,32.0,67.8,431.0,base13
93,636.7,2,2495.8,73.4,126.9,0.0,0.1,0.0,32.0,68.76,438.0,base13
94,637.7,3,2743.8,73.2,127.0,0.0,0.1,0.0,33.0,68.79,447.0,base13
95,638.7,1,2748.4,73.2,127.0,0.0,0.1,0.0,33.0,68.83,447.0,base13
96,640.2,1,2754.8,73.2,127.2,0.0,0.1,0.0,33.0,68.87,447.0,base13
97,642.5,1,2764.4,73.3,127.3,0.0,0.1,0.0,33.0,68.95,447.0,base13
98,645.9,1,2778.7,73.3,127.6,0.0,0.1,0.0,33.0,69.06,447.0,base13
99,650.9,1,2800.1,73.3,127.9,0.0,0.1,0.0,33.0,69.22,447.0,base13
100,658.5,1,2832.3,73.3,128.5,0.0,0.1,0.0,33.0,69.47,447.0,base13
101,669.9,1,2880.6,73.3,129.3,0.0,0.1,0.0,33.0,69.85,447.0,base13
102,687.0,1,2953.0,73.4,130.6,0.0,0.1,0.0,33.0,70.41,447.0,base13
103,688.0,3,3151.4,73.8,130.7,0.0,0.1,0.0,33.0,70.44,446.0,base13
104,689.0,1,3156.0,73.8,130.7,0.0,0.1,0.0,33.0,70.47,446.0,base13
105,690.5,1,3162.4,73.8,130.8,0.0,0.1,0.0,33.0,70.52,446.0,base13
106,692.7,1,3172.1,73.8,131.0,0.0,0.1,0.0,33.0,70.6,446.0,base13
107,696.1,1,3186.6,73.8,131.3,0.0,0.1,0.0,33.0,70.71,446.0,base13
108,701.2,1,3208.4,73.8,131.6,0.0,0.1,0.0,33.0,70.87,446.0,base13
109,708.8,1,3241.1,73.8,132.2,0.0,0.1,0.0,33.0,71.12,446.0,base13
110,720.2,1,3290.2,73.9,133.0,0.0,0.1,0.0,33.0,71.5,446.0,base13
111,730.0,1,3332.1,73.9,133.8,0.0,0.1,0.0,33.0,71.82,446.0,base13
112,735.0,1,3342.6,148.0,134.5,0.1,0.1,0.0,66.0,72.15,446.0,base13
113,742.5,1,3359.4,147.9,135.6,0.1,0.1,0.0,66.0,72.65,446.0,base13
114,753.7,1,3384.5,148.0,137.3,0.1,0.1,0.0,66.0,73.39,446.0,base13
115,770.6,1,3422.0,148.0,139.8,0.1,0.1,0.0,66.0,74.51,446.0,base13
116,795.9,1,3478.5,148.1,143.5,0.1,0.1,0.0,66.0,76.18,447.0,base13
117,825.9,1,3545.1,148.2,148.0,0.1,0.1,0.0,66.0,78.17,447.0,base13
118,855.9,1,3611.7,148.4,152.4,0.1,0.1,0.0,66.0,80.16,447.0,base13
119,885.9,1,3678.3,148.5,156.9,0.1,0.1,0.0,66.0,82.15,447.0,base13
120,915.9,2,3742.7,148.7,161.3,0.1,0.1,0.0,66.0,84.14,447.0,base13
121,945.9,2,3809.3,148.8,165.8,0.1,0.1,0.0,67.0,86.14,447.0,base13
122,975.9,2,3875.9,149.0,170.3,0.1,0.1,0.0,67.0,88.13,447.0,base13
123,1005.9,2,3942.7,149.2,174.7,0.1,0.1,0.0,67.0,90.13,447.0,base13
124,1035.9,1,4012.6,149.3,179.2,0.1,0.1,0.0,67.0,92.14,447.0,base13
125,1065.9,1,4079.6,149.5,183.7,0.0,0.1,0.0,67.0,94.14,447.0,base13
126,1095.0,1,4145.7,149.7,188.1,0.0,0.1,0.0,67.0,96.09,447.0,base13
127,1125.0,1,4214.7,149.8,192.6,0.0,0.1,0.0,67.0,98.09,447.0,base13
128,1155.0,1,4283.8,150.0,197.1,0.0,0.1,0.0,67.0,100.11,447.0,base13
129,1185.0,1,4353.0,150.2,201.6,0.0,0.1,0.0,67.0,102.12,447.0,base13
130,1215.0,1,4422.2,150.4,206.1,0.0,0.1,0.0,67.0,104.14,447.0,base13
131,1245.0,2,4489.5,150.5,210.6,0.0,0.1,0.0,67.0,106.15,447.0,base13
132,1275.0,2,4558.8,150.7,215.1,0.0,0.1,0.0,67.0,108.18,447.0,base13
133,1305.0,2,4628.2,150.9,219.6,0.0,0.1,0.0,67.0,110.2,447.0,base13
134,1335.0,2,4697.7,151.1,224.2,0.0,0.1,0.0,67.0,112.22,447.0,base13
135,1365.0,2,4767.3,151.2,228.7,0.0,0.1,0.0,68.0,114.25,447.0,base13
136,1395.0,2,4837.0,151.4,233.2,0.0,0.1,0.0,68.0,116.28,447.0,base13
137,1425.0,2,4906.7,151.6,237.8,0.0,0.1,0.0,68.0,118.31,447.0,base13
138,1455.0,1,4979.7,151.8,242.3,0.0,0.1,0.0,68.0,120.35,447.0,base13
139,1460.0,1,4989.0,152.0,243.1,0.0,0.1,0.0,68.0,120.68,447.0,base13
140,1465.0,1,4989.9,228.0,244.2,0.0,0.1,0.0,102.0,121.19,447.0,base13
141,1472.5,1,4991.3,227.9,246.0,0.0,0.1,0.0,102.0,121.96,447.0,base13
142,1483.7,1,4993.0,227.9,248.5,0.0,0.1,0.0,102.0,123.1,447.0,base13
143,1500.6,1,4995.5,227.9,252.4,0.0,0.1,0.0,102.0,124.82,447.0,base13
144,1525.9,1,4999.2,227.9,258.1,0.0,0.1,0.0,102.0,127.4,447.0,base13
145,1555.9,1,5003.6,227.9,265.0,0.0,0.1,0.0,102.0,130.45,447.0,base13
146,1585.9,1,5008.0,227.9,271.8,0.0,0.1,0.0,102.0,133.5,447.0,base13
147,1615.9,1,5012.5,227.9,278.6,0.0,0.1,0.0,102.0,136.56,447.0,base13
